,american,asked,big,branch,brother,built,bull,buried,chain,chest,church,clothes,coins,coming,controller,couldn,country,dad,day,decided,deep,did,didn,dig,digging,dollars,door,dug,end,everybody,family,far,father,going,gold,gone,gonna,got,grandfather,grave,ground,guess,guy,hat,heard,home,house,just,killed,kind,knew,later,leave,left,legs,little,lived,ll,longer,look,looked,lost,lot,man,money,mother,moved,named,near,nose,oak,old,passed,people,picked,place,property,remember,right,road,run,scared,seeing,seen,shit,shovel,sitting,son,started,stay,stopped,story,stuff,supposed,supposedly,talk,tell,telling,texas,things,time,told,took,town,tree,true,try,trying,understand,used,want,wanted,wasn,water,way,weird,wife,wind,woods,working,yard,years,young
Topic 0,0.025807067245311805,0.02974340820989582,0.06115439197638003,0.020183982607270452,0.03608619731227713,0.03374192189721179,0.1354881933505134,0.07151896249012052,0.0,0.06288205805649091,0.04591078185692338,0.05805656624713934,0.07789930757046903,0.12647746871322305,0.17416763511206393,0.0,0.01909554117032852,0.0336949117717415,0.05379845626026074,0.02974340820989582,0.01909554117032852,0.02702613767152222,0.09135896617354511,0.0781349567693123,0.09408130725477318,0.02974340820989582,0.008861754656640944,0.07839379818231818,0.0,0.008861754656640944,0.01909554117032852,0.05451652032038666,0.012497029092275609,0.06827762761827108,0.1168218807296063,0.01879432734590714,0.04009883366855302,0.14590089513297239,0.035824137788259165,0.0,0.0,0.05585630967304375,0.0704073965035587,0.04988022777267687,0.0050253041870151356,0.01909554117032852,0.17693032065453593,0.18455552579431767,0.036517737005450704,0.02546328839639943,0.06360876222485193,0.10879988309804667,0.024191212232183224,0.06516696311623446,0.04988022777267687,0.07681154590342842,0.03450194130458264,0.0873602157247471,0.028241914321464896,0.0871420055992061,0.06513611655294864,0.04782277973345177,0.07495842157345281,0.3560276371619569,0.09992059951112506,0.020303032083918458,0.016708472974912302,0.03443993063563216,0.053393521114194306,0.06126620304336234,0.0050253041870151356,0.13241233360467988,0.024647737148041114,0.05563340181879757,0.0207113961834571,0.019591318477455016,0.01909554117032852,0.013957425718495654,0.08860618088359458,0.025807067245311805,0.016014873757720764,0.04459407753307714,0.01909554117032852,0.0,0.05669906558215836,0.1107907636155601,0.01909554117032852,0.027019994098932836,0.06501946806585628,0.006082983526675938,0.023374885798163214,0.10355091304960849,0.02276806844367835,0.0,0.03717248950307238,0.06368106506711393,0.06379287526812834,0.048522727107695916,0.025807067245311805,0.0,0.09557702914295212,0.14637499692402747,0.10046924583046221,0.08969326969831426,0.0927146040093682,0.0,0.03232823970150797,0.024191212232183224,0.03072846672640446,0.019547210076196864,0.04945159292708116,0.01755074159534813,0.0,0.017864768515443576,0.04544622832783086,0.01909554117032852,0.0845978481578419,0.09402100667872794,0.08201177601568803,0.008861754656640944,0.04074278484874137,0.03210970962500505,0.04994738361281582
Topic 1,0.0,0.0,0.06645982279005294,0.00869276364431568,0.0,0.0,0.0,0.0886292673628065,0.10352710778478025,0.0,0.0,0.0,0.0,0.0,0.0,0.10352710778478025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12030365487159038,0.0,0.0,0.0,0.10056022670320645,0.0,0.03535577041329307,0.0,0.0,0.0,0.0,0.0,0.08364880900683738,0.0,0.0,0.0,0.09970316882170055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09666213071968442,0.0,0.0,0.056520072720932214,0.07874234499075683,0.0,0.0,0.0,0.11170890851979222,0.0,0.0,0.0,0.0,0.0,0.09970316882170055,0.0,0.0,0.0,0.0,0.2448355708316537,0.0,0.0,0.06226732319884811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120811136809418,0.0,0.0,0.0,0.0,0.23324979940727844,0.0,0.0,0.0,0.0,0.07656223295644504,0.10600950701734928,0.0,0.0,0.0,0.0,0.0,0.0,0.25002634649408856,0.23123202627288586,0.07639709558372682,0.0,0.0,0.0,0.0,0.0,0.0,0.19483016927182298,0.0
Topic 2,0.0,0.0,0.0,0.016023175703544525,0.11100406170581541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012570341636472192,0.0,0.0,0.0,0.11638618636885133,0.0,0.1006755704428922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03760599315448098,0.1082147303400433,0.0,0.0,0.0,0.12543361838498507,0.1028537359878899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3632568705468325,0.0,0.0,0.12265486755928491,0.0,0.0,0.0,0.08244526221034106,0.0,0.15296894029882047,0.12343598229965334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07569226994631946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12543361838498507,0.0,0.0,0.0,0.0,0.0,0.1101565090326468,0.0,0.0,0.0,0.12543361838498507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13599947615152913,0.0,0.10902818459119655,0.0,0.002342562421281769,0.0,0.0,0.0,0.0,0.3735509686664457,0.0,0.0,0.0,0.0
