,american,asked,big,branch,brother,built,bull,buried,chain,chest,church,clothes,coins,coming,controller,couldn,country,dad,day,decided,deep,did,didn,dig,digging,dollars,door,dug,end,everybody,family,far,father,going,gold,gone,gonna,got,grandfather,grave,ground,guess,guy,hat,heard,home,house,just,killed,kind,knew,later,leave,left,legs,little,lived,ll,longer,look,looked,lost,lot,man,money,mother,moved,named,near,nose,oak,old,passed,people,picked,place,property,remember,right,road,run,scared,seeing,seen,shit,shovel,sitting,son,started,stay,stopped,story,stuff,supposed,supposedly,talk,tell,telling,texas,things,time,told,took,town,tree,true,try,trying,understand,used,want,wanted,wasn,water,way,weird,wife,wind,woods,working,yard,years,young
Topic 0,1.9596849814806594,1.9221821489103152,2.660974347219031,0.5139834787453479,3.277903797271453,1.9176832058020818,4.6883394692482625,1.9087441994839591,1.2386503216915028,2.6091554927078975,1.9498817515940536,1.9061469536991904,3.1831175990895977,4.687659938060996,4.062315279933919,1.1801749517280775,1.2795232306300393,1.9486206766311487,2.5691895892287753,1.8500263944983466,1.26907909339968,2.6380197875774987,3.9301228000601554,4.605191659497263,3.2785292440564375,1.8951165675694088,0.49511659926089385,3.960817685194792,0.5127042704772745,0.5559461060725426,1.226249543357907,2.606961782105422,1.2088014518272783,1.9087096228851297,3.2290419916173256,1.8693900711817926,1.8559289655323596,4.001008161781496,1.9281505602410332,1.2310483972379263,1.9257091199770797,2.5741032698460424,0.5513032172267627,1.228595085095732,1.1936880953906452,1.256916491448686,0.5920695671792606,8.011304294758583,1.9471861279132,1.2222344392059026,1.9043047420391537,4.689953411529774,1.9204051083979934,2.615290881467245,1.232571880609922,6.03075197046254,1.184646313833486,3.9962638071652323,1.902961723256685,2.5821292799541844,3.3537984994997663,1.2546588850293072,3.2638652929286303,11.61042141711254,7.4101995829132585,2.6292431667398946,1.2346164593175277,1.8725786611518054,2.5980710019105366,2.6477566800590973,1.2148726222678805,4.731046744682847,1.2083380707395104,2.6067652910069876,1.202140784732164,3.3014094608515645,1.2403827177095434,1.1859842819347624,2.6173361447757917,1.9237180375233431,1.198404359174221,1.9537261674935862,1.2260398877970176,1.9694535350018003,1.9117943334761016,2.5894628565686815,1.190930568238873,0.5323708771675097,1.9068039865142141,1.9752048772184523,1.1840642097940701,2.6224328554739884,1.1948814733178308,1.865079630526085,0.5781285033366972,3.2954530905699357,1.2015467133498103,1.2575848820059885,1.8735174667488181,1.2007333449548065,3.284012091550402,5.280519812891063,3.978996597451613,2.5387216024129367,1.2112340672394133,0.5431134630828582,1.866621075588732,1.91476470999782,1.2448101398905385,2.586473841392521,1.9948813115470783,2.6433950966784527,0.5286264438492401,0.538923461670963,2.625583902503709,1.2478754732252944,1.9186689599197646,1.208791214805683,5.374325645443209,0.5408714396126767,1.2627483634967382,2.591511454506066,2.561571641089981
Topic 1,0.5268642002150397,0.6150521468614271,1.2173968808491855,1.2072455021838124,0.5608986590731001,0.5446686509419271,0.5541751111319945,1.1664688246919512,1.2072279650806266,0.5234616199019132,0.5530576315022334,0.5075705079788833,0.5690130461555397,0.5565926282387978,0.5622787642616967,1.219991263397016,1.2132388424309586,0.5767525825705889,1.266236850955008,0.5561754104410663,1.2046509563056111,1.2448845464504144,0.5658768656899983,1.8580979761531808,1.93153268020184,0.5214198144592921,1.2198542153968672,0.48525798091794303,1.222838877169086,1.2109636958685386,1.2270414103783314,0.6046722217814732,1.2309192997230924,1.923070960082027,0.5393832151885801,1.163077801552829,1.2935089585193413,4.6079837965185595,1.2714717465148382,0.5087444944475152,1.2654366292479406,1.2080505464213123,3.932233660646743,1.3023861731617974,1.1878754046354332,1.226144976163516,5.333226605241018,2.5826091892363188,0.551127379378609,1.2216270401277776,0.5196406011096386,0.5003910034850872,0.5013405621149276,1.2443451468675224,1.2178599441706162,1.2182468390552945,1.2517397365033325,0.5281537325180139,0.5435356540525673,3.960079036116706,1.220013080295749,0.5493653508837584,1.1932512442695546,10.058509191438857,3.9316793216069,0.5222847783386612,0.5695764963360159,0.5645998400417759,0.5064122063926491,0.489926756145645,1.234559926766723,0.5752052953108483,1.2080388435136806,1.1988616940698595,1.1847663067395746,2.566055071361766,1.2144986358011778,0.5284319047819745,3.958300918078524,0.5163553771881755,1.1784626995680996,1.8837626450716802,1.2079039860225236,0.5268733683268189,1.9305151492537573,3.992789590005186,1.2356861620161401,1.220180443358803,2.595186376943872,0.5316475257555986,0.5059914497911912,0.5672838222834861,1.2152659059348023,0.5636648675647428,1.166187396077561,1.17136447438951,3.283998890567421,2.5894504762282864,0.4909092610406841,1.9609466327597946,1.2275958128499846,0.5296850426159211,0.49394582132043,0.5682656809069463,6.049211965457501,1.2008276522365589,0.5086894886721196,0.4894111395906062,1.9138370316230109,0.5663354647045941,1.9039354027150872,0.4970447598673326,1.9278505386241438,3.3252247906796324,1.9250631124252244,1.2751148783978,0.5970392361835952,3.3102544626326034,0.5598502180220779,1.218499631108953,1.9086398734021688,1.8804496151251437,0.554208499253159
Topic 2,0.5833362144173139,0.5561249797656479,0.585222382949492,1.9226998087231633,1.228667054960114,1.2080295780220458,0.5745543501367423,4.021301523649227,0.5263724717661203,0.5450590271836173,1.2603296008514304,0.5512022422434845,0.5633312781238854,0.4843853272650749,0.5243164846592361,0.520523908909607,0.5296012935460555,1.327265269602385,1.1746054494348368,0.5576441347692147,0.5368905497797019,1.2238259444322055,1.2951099298623796,0.560201324939919,1.2662182197143295,0.5818815558582864,1.2604910105223226,0.48382096596680185,1.2895662127342122,1.2500218567640466,0.544351279618361,1.250551992934564,1.2757179021350886,1.972374752149452,6.193809783668997,1.2336000735660502,1.2181191906408948,1.2813973003866108,0.5957615508727961,1.2227185380740473,0.4997962330806408,0.5094938136648013,1.9688470759328072,0.5890365626831711,0.529088077094204,0.5510471709388506,4.705981014321772,0.6854941603118532,1.1891808659481136,1.2074124225467557,0.5476429840388906,0.5407044360590331,0.47886953623127354,1.279772718115566,0.5849535166984714,2.6606622331267973,2.620071103161963,0.5567723117949956,0.5473655568929628,0.5357199929231514,1.2303788234356694,1.2167984063452741,3.3744117867762786,2.696923332195589,2.738547097362511,0.5355215379003815,1.214099501562663,0.5933940781739315,0.5169393035334412,0.518169134126178,0.5544353910871893,1.184930312388543,0.5215101146396793,0.5740387322493973,0.5549679045999774,1.2953426842382199,0.5469868956239625,1.2631214869497462,1.9288821871688941,0.5205438620501235,0.4937803277356641,0.5360177493838907,0.5110888111446004,0.5669703616593816,0.5449355034504413,0.5796458163407127,0.5638838842807746,1.9345275857509838,0.5664552380393455,1.2475466511943225,1.9128089386822007,2.6150595529606186,1.193911296895263,0.5562182358933064,3.2650877896481383,0.5432419349438641,1.2570772597760647,0.5415007933045669,0.5789313194141597,0.5869693127848699,2.627916296226663,1.9771890885972079,0.5884368067564479,2.6195148041432077,0.5603263277063384,1.200041435917256,1.2385641626111743,0.5494889862325297,0.5707153088737708,1.2338430464994443,0.5246838764946585,0.5551593748980691,1.2420051001404468,1.9873163354364118,1.9874232871457218,0.5142607130725534,2.6403395350817807,0.5536868021626716,0.5499132323179878,1.164150618592355,1.2449236200912508,0.6023790836620354,1.2303784499987969
