,american,asked,big,branch,brother,built,bull,buried,came,chain,chest,church,clothes,coins,come,coming,controller,couldn,country,dad,day,decided,deep,did,didn,dig,digging,dollars,don,door,dug,end,everybody,family,far,father,going,gold,gone,gonna,got,grandfather,grave,ground,guess,guy,hat,heard,home,house,just,killed,kind,knew,know,later,leave,left,legs,like,little,lived,ll,longer,look,looked,lost,lot,man,money,mother,moved,named,near,nose,oak,old,passed,people,picked,place,property,remember,right,road,run,said,saw,scared,seeing,seen,shit,shovel,sitting,son,started,stay,stopped,story,stuff,supposed,supposedly,talk,tell,telling,texas,things,time,told,took,town,tree,true,try,trying,understand,used,want,wanted,wasn,water,way,weird,went,wife,wind,woods,working,yard,yeah,years,young
Topic 0,1.9701223338463012,1.5958899143797745,2.3293747333714294,1.8471059623144206,1.8818017586646951,2.6097943481307198,0.862688402057015,6.03073481734064,6.670249472298673,1.2315807963336114,1.9295747662128546,2.5979244906628645,0.4685766640770686,2.6286070553798777,3.352070921357257,1.6451714554514014,0.9425227988785834,1.2703601611345765,0.5132218235076966,2.5066295920059916,1.9295763390398761,1.649791330496168,0.5086413927210088,2.5282952226463498,2.8332785146561013,3.243396583586415,1.3835440781904524,1.5652165647260117,3.2536905838111685,1.217462327333552,2.9767114991417514,1.9072061216816878,1.1875972567585664,0.528863638368355,3.083737771777294,2.2276658948383212,2.048829851624475,8.057954463607324,1.4278894748786128,2.5766302279182165,4.1937723897699595,1.8805243240736762,1.2182047017568483,1.2254388031892154,1.1916377593875285,1.924978943235123,0.5566888267526465,1.5193137943693173,0.5781158979507465,4.651892133702418,4.140617280677369,2.6309770784984714,1.2183350301352676,0.7433707355115156,6.064400399840572,4.2717520907359035,1.1804719599518705,3.0125677228180994,0.5293984518541844,1.82718385751862,6.080282465647978,3.9959975607693767,3.570825369528301,0.5694021835231701,1.9272744953381549,2.1531340409463473,1.2253631257537747,5.306159212369718,7.88213685145027,8.789805440625253,0.5273835234343536,1.9700608610387411,1.574300223349175,1.9350409175321952,0.8169790401843353,1.6111271127563342,3.698656520654514,0.6351691158335886,2.58724297197417,1.247946804415412,4.610514775134628,0.5757729103564649,1.8874896740042961,4.3139622274474965,1.9048235674998821,1.1996613939508602,11.259934660600042,3.2552793454551776,1.2034563933478792,0.6038206716632738,0.5038153781102448,0.5679914213988344,0.5635126143831909,0.49424540423262736,1.9424525194152886,0.6243161653810309,1.875323111661443,2.6064420643438173,3.942121763827448,1.8667563090394157,0.5296162874843684,3.9275300690791015,2.1763355097608237,1.8541367762005767,0.5077085866131572,1.9107669160620913,1.8613513437867792,4.454384347211143,5.835413943384275,2.580330654618288,4.6380683703031025,1.3669662340521251,1.8976268504177667,1.8998078788242623,1.2564383104010752,1.240098672627528,2.5754503038299803,1.3634495891943705,1.4889071249704393,2.5804460597211945,3.278842181173905,3.9418226514299404,0.5116473613430723,9.284730103872453,3.6535555017846724,0.5428246942845746,0.7652474745939615,1.2244810589874875,1.2314733505139295,2.5977345254874904,3.9202484716418216,1.8692249752558183
Topic 1,0.5263713512839923,0.5598589513779179,0.5129884478935266,0.5826591982849053,0.5661283649903465,0.56688871487418,0.5432679363393957,0.5460821328619054,0.6093055172435714,0.5824645477003699,0.5616357366321435,0.5235010255548355,0.5620791110399107,0.5629314510167612,0.5018384762536809,0.5701593669710733,0.5281084857882387,0.5441353070864312,0.48312218657205747,0.5653986493825374,0.540239237133609,0.5490210011889304,0.6041019320984576,0.5728792552502001,0.5767829176600253,0.5539308645702444,0.49306014161951217,0.6175696151247515,0.5249690162018709,0.598089696125959,0.522722630316269,0.5943865864049722,0.5279938008871652,0.5246816022357448,0.6360435521868439,0.5256528382519343,0.5490605804587908,0.6020665034696052,0.5374607457732936,0.5677925063542979,0.5559604880029541,0.5275207284806362,0.5018284407603031,0.5063136382561362,0.5626320041072549,0.542799837247961,0.5356560865278484,0.5876078535465692,0.5275703140228687,0.5499019907700277,0.5602053135561467,0.544388979993502,0.5560638749760531,0.5160238751768499,0.5280938739465896,0.5435530835160897,0.522861564490491,0.5746278608123729,0.5645144850176157,0.5187938802676558,0.5103284627483731,0.5675083698645783,0.5923482249331349,0.5266964488075881,0.5288811608083448,0.5120769641053811,0.5342084760233614,0.5464375277815079,0.5618585751865356,0.5884182032115292,0.5168136125039173,0.5003068219767036,0.5231678088241953,0.5246073536751708,0.5313269091088408,0.5691453583761235,0.5913928993804713,0.55353305766907,0.5515716951435147,0.5450123120793143,0.564399150786233,0.5056337295136331,0.5791659860055712,0.5483772490887786,0.5647205983093863,0.49692407646978093,0.5642267891322635,0.5843693960177465,0.5454210247005512,0.49075478581781384,0.5941388885045495,0.5445898142025626,0.5318136882202243,0.4918633452119267,0.5693490477560812,0.5792066108122113,0.5278292426214185,0.5166168332136302,0.4986786963286034,0.5639158282807574,0.5660396206904286,0.5551369108367401,0.5055677328368605,0.5725493491960213,0.5962381797272822,0.5661146973846086,0.6083546972889493,0.6245963796526394,0.599201926361488,0.5733871285111579,0.5410088453739103,0.5512753725116626,0.529913916229348,0.5542722785760564,0.5717677447165915,0.5521318828371208,0.5849717909753012,0.5472097471583881,0.5350153165640154,0.5237069628712755,0.5964289984887052,0.5602873808084357,0.5157402743683438,0.6155398052471601,0.5622273661399163,0.5483994788896911,0.5346346394448606,0.48146883965731707,0.5250648930689851,0.5277987349470198,0.544140811628679,0.6371894293559736
Topic 2,0.4762470823753119,0.8745836121148909,1.553583721918368,1.231478068229634,2.672459954877419,0.5182359567586459,4.396375679525825,0.589047696155487,2.0077949951453076,1.1528373876877083,1.3100686022054324,0.5593593807743484,1.9143050681920688,1.235332352523217,5.419560396581607,3.5608200117305544,3.7198578251800423,1.2262101540439394,1.8873902451004878,0.5612787184811003,2.663044920062363,0.8326223184070485,1.8695898872080525,1.890772850742831,2.3762972361076407,3.3685106716544295,4.445556615242051,0.8814008050953897,7.462052197805388,1.3005530724094072,1.4869381363525007,0.5210528214302674,1.2506357347397872,1.8909591076031604,0.6423391200030718,0.8793062393999649,3.1546798002149052,1.274072609779798,2.4148958610969724,1.24292315161418,5.165054948476561,1.2019372505418244,1.216138838388423,1.903789599288002,2.6483874606813838,3.984920016171472,1.9451402258675543,0.8712083964229029,1.8968765639009848,5.426897710688819,6.524757612611042,0.524866792886403,1.938522147463806,1.6812541396205491,7.395546076762049,0.9516639228076974,1.2349036206381911,1.5580322127819581,1.916055646476219,8.900277757049615,3.294557717258056,0.5137995067776513,0.873918781794427,1.892519659448861,4.646777136785494,3.11087699092394,1.2290219064568575,1.9485152547543056,15.965213171477004,4.723815819022133,2.6176423285679826,0.556841180563114,0.8421852937817292,1.2219658232980009,2.2594672993243248,0.8706966243400331,2.158647919463485,1.7683577895095448,1.2468139732117187,1.217427286026971,1.94685811236689,1.9462894282619638,0.5618816553797442,3.7151064158576186,0.566044780810897,1.2225157467365733,20.757288485048328,1.880559750687695,2.612794213483943,1.9174298325016303,1.9310480847397185,3.285427474031193,5.974694317026506,1.9259757976347647,1.2292024698969968,3.954926795322819,1.268044842841569,0.5225968762392562,1.2742216900787553,1.2445134897768095,1.9252665622385698,0.4797928557979412,2.3698414702313295,3.323715166391233,3.2859212852714124,0.5149626514019249,1.2006176804126332,2.0864676719274233,1.4263329207754238,1.9072983359335718,0.5886465452085209,5.968168735955519,0.48446292584955564,1.2067502833199315,1.203490627189546,1.9567833650807862,1.224362325047768,2.480688752399623,1.6400224291531291,0.46583888312261473,1.938330015504354,2.0319272501997103,1.873471109887265,7.523703729769686,0.9310336140734059,3.9598363089407673,5.125925459434005,1.2775665802018525,2.586199400877902,1.26487064902015,0.5757982844212236,1.935628233032662
